id,fb_soclife_base,fb_soclife_end,fb_soclife_diff
7,2,1,-1
8,-2,-1,1
12,0,3,3
13,-1,-4,-3
14,-1,-1,0
16,-1,0,1
23,0,-1,-1
25,2,0,-2
27,-1,2,3
28,2,3,1
30,1,1,0
34,-1,-1,0
39,-1,0,1
41,3,2,-1
45,-1,-2,-1
46,0,2,2
47,3,2,-1
48,2,1,-1
49,2,1,-1
50,-3,-3,0
53,0,-2,-2
56,1,3,2
57,2,3,1
58,0,0,0
60,-4,-3,1
66,3,3,0
67,2,-2,-4
69,-1,-2,-1
70,-2,0,2
71,-1,0,1
72,-1,-1,0
74,-3,5,8
76,0,-2,-2
80,-2,-3,-1
84,-1,-1,0
87,-2,-5,-3
88,-1,1,2
89,2,3,1
93,-1,0,1
94,-1,-2,-1
97,-3,-2,1
104,-1,5,6
107,-2,-3,-1
108,0,1,1
109,-5,-4,1
110,-2,-2,0
111,2,2,0
112,0,0,0
116,0,-2,-2
117,3,2,-1
119,-4,-2,2
120,-3,-3,0
121,5,3,-2
125,3,3,0
126,-2,-1,1
129,1,1,0
130,2,2,0
131,-2,-2,0
132,-1,1,2
133,-5,-2,3
134,2,1,-1
136,3,2,-1
138,-3,-2,1
142,0,0,0
143,-1,-2,-1
144,0,0,0
146,-2,-1,1
147,-2,0,2
148,3,2,-1
150,1,3,2
151,-1,-2,-1
152,-1,1,2
155,0,-2,-2
156,-2,-2,0
161,1,2,1
162,1,2,1
163,2,0,-2
167,-2,3,5
168,-2,-3,-1
169,-2,-1,1
171,-2,-3,-1
173,-1,-1,0
174,-4,-5,-1
177,-3,-3,0
179,-3,-3,0
180,3,-3,-6
182,2,2,0
189,2,-2,-4
190,-3,0,3
191,-5,-3,2
193,-2,-3,-1
195,-5,-2,3
202,1,1,0
206,0,-1,-1
207,1,2,1
209,1,1,0
213,2,2,0
217,-4,-3,1
218,-3,-3,0
219,2,0,-2
220,0,-2,-2
222,-3,-1,2
225,-2,-2,0
227,-1,-1,0
228,5,2,-3
229,0,1,1
231,2,1,-1
232,2,0,-2
233,-2,-2,0
234,-2,-2,0
236,-3,-5,-2
237,1,1,0
240,-1,1,2
243,-1,1,2
245,5,0,-5
248,1,2,1
250,3,2,-1
251,-1,0,1
252,0,-3,-3
253,-3,0,3
254,0,-1,-1
256,0,1,1
257,1,0,-1
265,-3,-2,1
266,-4,-3,1
267,-1,2,3
269,-1,2,3
270,-5,-3,2
271,-1,-2,-1
272,2,3,1
277,2,2,0
278,1,0,-1
279,-1,-2,-1
281,0,0,0
282,0,1,1
290,-1,1,2
292,-1,0,1
295,0,1,1
296,1,1,0
297,-1,1,2
299,-1,0,1
300,0,0,0
301,0,0,0
306,0,-1,-1
313,1,0,-1
319,0,0,0
324,-3,-2,1
325,0,1,1
326,-1,-2,-1
328,-5,-2,3
329,-1,0,1
331,1,1,0
332,0,1,1
335,-3,-3,0
340,3,3,0
342,-3,-2,1
343,-1,2,3
345,-1,0,1
348,-2,-2,0
349,0,0,0
350,-2,-4,-2
352,-1,-2,-1
355,0,3,3
357,-2,-5,-3
359,0,0,0
367,0,1,1
368,-1,-2,-1
371,1,0,-1
380,2,2,0
382,1,3,2
384,-1,-2,-1
385,1,1,0
387,1,2,1
397,-2,-1,1
399,-3,1,4
400,2,3,1
401,-3,-3,0
402,-1,-1,0
403,1,1,0
406,3,1,-2
407,1,-1,-2
411,-1,1,2
416,-2,-2,0
417,5,2,-3
421,-2,-1,1
422,-2,-2,0
426,2,-1,-3
428,-1,1,2
430,-1,0,1
431,2,-1,-3
432,1,1,0
433,0,0,0
434,-3,-3,0
435,-2,-1,1
437,2,2,0
440,0,-2,-2
442,0,-2,-2
445,1,0,-1
446,-1,-2,-1
448,-1,-1,0
454,0,2,2
456,-3,-4,-1
457,-2,-1,1
458,-2,-1,1
459,-1,-1,0
460,-2,0,2
461,1,2,1
465,1,1,0
467,3,2,-1
468,-4,-2,2
470,0,-1,-1
471,1,2,1
472,-1,-1,0
475,1,-1,-2
476,-2,0,2
477,2,-2,-4
482,-1,-1,0
483,2,3,1
485,-3,-4,-1
491,0,1,1
493,5,-5,-10
494,2,1,-1
499,0,2,2
500,4,3,-1
502,2,3,1
503,-2,-2,0
504,2,1,-1
505,-5,-5,0
514,-1,0,1
516,-3,-3,0
520,-1,2,3
522,0,0,0
524,-2,-1,1
526,-1,-1,0
529,0,0,0
535,1,0,-1
539,-1,-1,0
540,0,0,0
541,-1,0,1
542,-3,2,5
543,0,0,0
546,-2,-3,-1
549,0,0,0
551,1,-1,-2
552,-4,-3,1
554,-1,0,1
555,0,0,0
557,3,1,-2
558,2,2,0
560,0,-2,-2
563,1,0,-1
568,-1,0,1
569,1,0,-1
570,-2,-1,1
571,-2,-3,-1
572,-2,-2,0
573,2,0,-2
574,1,2,1
576,-2,-3,-1
578,0,-1,-1
579,1,2,1
582,-2,-1,1
586,-2,-2,0
588,-1,-1,0
592,0,-1,-1
595,2,2,0
598,-1,-1,0
600,1,-1,-2
601,2,-1,-3
602,0,1,1
604,2,-1,-3
607,1,1,0
608,-1,-1,0
609,0,-2,-2
611,-2,2,4
612,-3,3,6
614,-2,-3,-1
616,-3,-3,0
619,1,2,1
621,-2,-2,0
622,-1,-1,0
624,-5,0,5
625,1,1,0
633,1,3,2
639,0,1,1
648,-2,0,2
651,1,1,0
652,-2,1,3
654,2,2,0
657,-1,1,2
658,-3,-3,0
660,-1,0,1
666,1,-1,-2
667,4,4,0
671,1,-3,-4
672,2,2,0
674,2,3,1
680,-3,2,5
681,-1,-1,0
684,0,0,0
685,2,3,1
687,0,-3,-3
689,0,-1,-1
692,0,0,0
693,2,2,0
694,-2,-2,0
699,-2,-2,0
700,-3,-3,0
704,0,1,1
708,2,1,-1
712,0,0,0
714,-1,1,2
717,2,2,0
720,2,1,-1
723,-1,-1,0
727,2,2,0
728,2,-1,-3
731,-3,-2,1
733,1,0,-1
734,1,-1,-2
737,2,2,0
738,-2,-1,1
739,1,1,0
741,3,1,-2
744,0,1,1
745,1,1,0
746,-3,-2,1
747,3,3,0
750,-2,-2,0
751,2,-3,-5
761,-2,-3,-1
762,-2,-1,1
763,-1,-3,-2
765,-1,-2,-1
766,-1,1,2
767,1,0,-1
768,-2,-1,1
769,-1,-1,0
774,0,3,3
776,3,5,2
778,2,2,0
779,0,-3,-3
780,-3,-1,2
781,-1,-1,0
784,-1,0,1
787,-3,-2,1
792,3,2,-1
797,-1,2,3
799,0,0,0
800,1,0,-1
801,1,1,0
802,2,2,0
807,0,2,2
810,4,0,-4
811,2,-2,-4
818,-1,-1,0
823,0,2,2
825,-1,-2,-1
826,0,3,3
828,-5,-3,2
829,4,1,-3
831,2,2,0
832,1,0,-1
834,0,-1,-1
835,-1,-1,0
838,-2,-2,0
839,1,-2,-3
843,0,1,1
844,2,2,0
845,2,2,0
846,1,-2,-3
847,0,0,0
848,0,-3,-3
849,0,-1,-1
853,2,1,-1
854,-5,-2,3
855,-3,-5,-2
856,1,-1,-2
857,0,0,0
859,0,0,0
860,3,1,-2
865,0,-2,-2
866,3,1,-2
867,0,1,1
868,-3,-4,-1
869,-1,-3,-2
872,2,2,0
873,-1,2,3
876,-2,0,2
878,-1,0,1
879,-1,-2,-1
881,-1,-1,0
882,2,2,0
883,1,-1,-2
887,-2,-2,0
890,-3,0,3
892,2,3,1
895,-1,1,2
899,-2,0,2
901,-3,-2,1
903,0,-1,-1
904,-2,-1,1
909,1,1,0
916,-1,2,3
919,-4,-2,2
925,-3,-4,-1
926,-2,-2,0
927,1,1,0
928,1,1,0
930,5,0,-5
931,1,-2,-3
937,2,2,0
938,-1,0,1
939,1,0,-1
941,-4,-4,0
944,-1,-3,-2
946,-2,-4,-2
947,0,0,0
948,-1,-2,-1
950,-3,-5,-2
951,3,1,-2
953,-1,2,3
954,-2,-1,1
955,2,1,-1
956,-2,-2,0
958,-2,-3,-1
959,-3,-1,2
960,-1,1,2
961,-1,1,2
963,2,1,-1
968,1,1,0
971,0,5,5
972,0,0,0
975,2,2,0
976,-2,0,2
980,2,3,1
983,0,-2,-2
985,-2,-2,0
986,-3,-4,-1
988,3,-4,-7
990,2,3,1
991,-5,-4,1
992,-2,-1,1
993,2,-4,-6
997,1,1,0
999,-2,-4,-2
1013,-2,-1,1
1014,-3,-3,0
1016,0,2,2
1017,-2,2,4
1018,-1,-3,-2
1021,-4,1,5
1026,1,1,0
1027,1,1,0
1035,0,1,1
1036,1,1,0
1055,-1,-1,0
1056,-2,0,2
1059,0,1,1
1063,-3,-1,2
1066,-1,1,2
1068,0,1,1
1070,-1,-1,0
1072,-1,0,1
1073,1,1,0
1075,2,1,-1
1077,-1,-1,0
1080,0,-2,-2
1084,-2,-3,-1
1085,0,2,2
1088,-1,0,1
1090,2,2,0
1091,0,1,1
1092,2,0,-2
1094,1,-1,-2
1097,-2,-3,-1
1098,0,1,1
1099,3,4,1
1102,-1,-2,-1
1103,0,-2,-2
1104,0,-1,-1
1105,1,-1,-2
1106,0,2,2
1109,0,1,1
1110,1,-2,-3
1113,-3,-3,0
1114,-3,-4,-1
1117,-2,-2,0
1118,0,-1,-1
1119,1,2,1
1122,0,-2,-2
1123,-1,-1,0
1126,-2,-4,-2
1129,5,3,-2
1134,-1,-2,-1
1135,-2,-2,0
1136,1,2,1
1137,0,0,0
1139,-3,-2,1
1140,-1,-2,-1
1142,2,2,0
1145,-2,-3,-1
1146,1,0,-1
1147,0,-1,-1
1148,-2,1,3
1149,1,-1,-2
1152,0,2,2
1154,3,0,-3
1164,-2,-5,-3
1166,0,0,0
1167,0,-2,-2
1168,2,-2,-4
1169,1,1,0
1170,1,0,-1
1173,0,-1,-1
1175,2,0,-2
1176,-1,-2,-1
1177,5,5,0
1178,1,0,-1
1182,2,2,0
1183,-1,-5,-4
1186,3,2,-1
1191,1,-2,-3
1194,-2,-2,0
1196,3,2,-1
1197,0,0,0
1199,2,2,0
1201,0,0,0
1204,-4,-5,-1
1206,1,1,0
1207,0,0,0
1210,2,3,1
1214,2,3,1
1215,-2,-2,0
1216,-1,1,2
1218,-3,-4,-1
1221,1,1,0
1222,5,5,0
1227,-1,-1,0
1228,-3,-2,1
1231,0,1,1
1232,1,-1,-2
1233,-1,0,1
1234,-1,1,2
1235,0,1,1
1237,0,-2,-2
1239,0,2,2
1240,1,1,0
1243,-2,1,3
1245,1,1,0
1247,2,0,-2
1250,0,4,4
1251,2,3,1
1257,-1,-4,-3
1259,2,3,1
1260,-2,-4,-2
1262,-2,-1,1
1265,-4,-2,2
1267,0,-1,-1
1268,-2,-1,1
1269,0,-2,-2
1273,3,1,-2
1274,-1,-1,0
1275,2,2,0
1278,-4,-3,1
1279,-2,2,4
1282,1,-1,-2
1283,2,3,1
1284,2,0,-2
1286,-1,2,3
1290,-2,2,4
1291,-1,0,1
1293,-1,-1,0
1294,0,-1,-1
1296,-3,-2,1
1297,0,0,0
1298,-1,-1,0
1299,1,2,1
1300,0,1,1
1302,-1,-1,0
1303,0,-2,-2
1308,1,2,1
1310,2,2,0
1311,4,4,0
1313,-2,0,2
1314,-2,-2,0
1316,-1,2,3
1318,2,0,-2
1322,0,-2,-2
1323,-2,-3,-1
1325,2,1,-1
1327,-3,0,3
1329,3,1,-2
1334,2,1,-1
1337,0,0,0
1338,3,3,0
1340,-1,-2,-1
1342,0,0,0
1344,-2,-3,-1
1345,1,2,1
1349,-1,-1,0
1350,2,1,-1
1351,-2,-2,0
1353,-2,-1,1
1354,-2,-2,0
1355,-2,-1,1
1356,2,-1,-3
1363,2,-1,-3
1364,-2,-2,0
1368,1,-1,-2
1372,-2,-3,-1
1373,-1,-2,-1
1374,2,2,0
1383,-2,1,3
1385,0,-2,-2
