id,repdem,libcon
1,Democrat (Strongly Democratic),Extremely liberal
3,Republican (Weakly Republican),Slightly conservative
4,Democrat (Weakly Democratic),Slightly liberal
5,Democrat (Strongly Democratic),Extremely liberal
6,Independent,Moderate
7,Independent,Moderate
8,Democrat (Weakly Democratic),Liberal
10,Independent (Lean toward the Republican Party),Moderate
11,Democrat (Weakly Democratic),Liberal
12,Independent,Slightly liberal
13,Republican (Strongly Republican),Conservative
14,Independent (Lean toward the Republican Party),Slightly conservative
15,Republican (Strongly Republican),Conservative
16,Republican (Strongly Republican),Extremely conservative
19,Independent (Lean toward the Republican Party),Slightly conservative
20,Democrat (Weakly Democratic),Liberal
21,Democrat (Strongly Democratic),Liberal
23,Democrat (Strongly Democratic),Liberal
24,Democrat (Weakly Democratic),Liberal
25,Democrat (Strongly Democratic),Liberal
26,Independent,Moderate
27,Democrat (Weakly Democratic),Slightly liberal
28,Democrat (Strongly Democratic),Liberal
30,Democrat (Strongly Democratic),Liberal
31,Democrat (Strongly Democratic),Moderate
32,Democrat (Weakly Democratic),Moderate
33,Democrat (Weakly Democratic),Liberal
34,Independent (Lean toward the Democratic Party),Extremely liberal
35,Independent (Lean toward the Republican Party),Conservative
36,Independent (Lean toward the Democratic Party),Slightly liberal
37,Democrat (Strongly Democratic),Liberal
38,Independent,Conservative
39,Independent (Lean toward the Republican Party),Conservative
40,Democrat (Strongly Democratic),Liberal
41,Democrat (Strongly Democratic),Liberal
42,Independent (Lean toward the Democratic Party),Extremely liberal
45,Republican (Weakly Republican),Slightly conservative
46,Independent,Liberal
47,Independent (Lean toward the Republican Party),Moderate
48,Independent (Lean toward the Democratic Party),Slightly liberal
49,Independent (Lean toward the Democratic Party),Liberal
50,Democrat (Weakly Democratic),Slightly liberal
51,Democrat (Strongly Democratic),Extremely liberal
52,Independent (Lean toward the Democratic Party),Slightly liberal
53,Republican (Strongly Republican),Conservative
54,Democrat (Weakly Democratic),Extremely liberal
56,Democrat (Weakly Democratic),Liberal
57,Democrat (Strongly Democratic),Liberal
58,Democrat (Strongly Democratic),Liberal
59,Democrat (Strongly Democratic),Extremely liberal
60,Democrat (Weakly Democratic),Moderate
62,Democrat (Strongly Democratic),Extremely liberal
64,Independent (Lean toward the Democratic Party),Conservative
65,Independent,Moderate
66,Democrat (Strongly Democratic),Extremely liberal
67,Democrat (Weakly Democratic),Liberal
68,Democrat (Strongly Democratic),Liberal
69,Independent (Lean toward the Republican Party),Slightly conservative
70,Independent (Lean toward the Democratic Party),Extremely liberal
71,Democrat (Weakly Democratic),Moderate
72,Independent (Lean toward the Republican Party),Slightly conservative
73,Independent,Moderate
74,Democrat (Weakly Democratic),Moderate
76,Independent (Lean toward the Democratic Party),Extremely liberal
78,Democrat (Strongly Democratic),Moderate
79,Independent,Slightly liberal
80,Democrat (Strongly Democratic),Moderate
81,Democrat (Strongly Democratic),Extremely liberal
83,Republican (Strongly Republican),Conservative
84,Independent (Lean toward the Democratic Party),Liberal
86,Democrat (Strongly Democratic),Moderate
87,Independent,Moderate
88,Independent (Lean toward the Republican Party),Conservative
89,Democrat (Strongly Democratic),Liberal
92,Independent (Lean toward the Republican Party),Conservative
93,Independent (Lean toward the Democratic Party),Slightly liberal
94,Democrat (Strongly Democratic),Extremely liberal
95,Independent (Lean toward the Democratic Party),Liberal
96,Democrat (Strongly Democratic),Liberal
97,Independent (Lean toward the Democratic Party),Extremely liberal
98,Democrat (Strongly Democratic),Moderate
99,Republican (Strongly Republican),Extremely conservative
100,Democrat (Strongly Democratic),Liberal
102,Independent (Lean toward the Democratic Party),Liberal
104,Independent (Lean toward the Democratic Party),Moderate
105,Republican (Weakly Republican),Slightly conservative
106,Democrat (Strongly Democratic),Extremely liberal
107,Independent (Lean toward the Republican Party),Conservative
108,Republican (Strongly Republican),Conservative
109,Independent (Lean toward the Republican Party),Slightly conservative
110,Republican (Weakly Republican),Conservative
111,Democrat (Strongly Democratic),Extremely liberal
112,Independent (Lean toward the Democratic Party),Liberal
113,Independent (Lean toward the Democratic Party),Slightly liberal
114,Democrat (Weakly Democratic),Slightly liberal
115,Democrat (Strongly Democratic),Liberal
116,Republican (Weakly Republican),Conservative
117,Republican (Weakly Republican),Liberal
118,Independent (Lean toward the Democratic Party),Moderate
119,Democrat (Strongly Democratic),Liberal
120,Independent,Moderate
121,Democrat (Strongly Democratic),Slightly liberal
122,Democrat (Strongly Democratic),Liberal
123,Independent,Moderate
125,Democrat (Strongly Democratic),Liberal
126,Republican (Weakly Republican),Slightly conservative
129,Independent,Moderate
130,Democrat (Strongly Democratic),Liberal
131,Independent (Lean toward the Democratic Party),Extremely liberal
132,Independent,Liberal
133,Independent (Lean toward the Democratic Party),Slightly liberal
134,Democrat (Weakly Democratic),Moderate
136,Republican (Weakly Republican),Slightly conservative
137,Independent (Lean toward the Democratic Party),Moderate
138,Independent (Lean toward the Democratic Party),Moderate
139,Independent,Moderate
140,Democrat (Strongly Democratic),Extremely liberal
141,Republican (Weakly Republican),Conservative
142,Democrat (Weakly Democratic),Slightly liberal
143,Independent (Lean toward the Democratic Party),Slightly liberal
144,Democrat (Strongly Democratic),Extremely liberal
145,Republican (Strongly Republican),Conservative
146,Independent (Lean toward the Democratic Party),Liberal
147,Independent (Lean toward the Republican Party),Slightly conservative
148,Republican (Weakly Republican),Liberal
149,Democrat (Weakly Democratic),Moderate
150,Independent (Lean toward the Democratic Party),Moderate
151,Democrat (Weakly Democratic),Liberal
152,Independent (Lean toward the Democratic Party),Liberal
153,Democrat (Strongly Democratic),Liberal
154,Independent (Lean toward the Democratic Party),Slightly liberal
155,Independent (Lean toward the Democratic Party),Moderate
156,Independent (Lean toward the Republican Party),Extremely conservative
157,Democrat (Strongly Democratic),Extremely liberal
159,Independent,Moderate
160,Democrat (Strongly Democratic),Liberal
161,Independent (Lean toward the Republican Party),Moderate
162,Republican (Strongly Republican),Conservative
163,Independent (Lean toward the Democratic Party),Slightly liberal
164,Independent (Lean toward the Democratic Party),Liberal
165,Democrat (Strongly Democratic),Liberal
166,Democrat (Strongly Democratic),Liberal
167,Democrat (Weakly Democratic),Slightly liberal
168,Independent (Lean toward the Democratic Party),Liberal
169,Democrat (Weakly Democratic),Liberal
170,Republican (Strongly Republican),Conservative
171,Democrat (Strongly Democratic),Extremely liberal
173,Democrat (Weakly Democratic),Liberal
174,Independent (Lean toward the Republican Party),Conservative
175,Democrat (Weakly Democratic),Moderate
176,Republican (Weakly Republican),Slightly conservative
177,Independent (Lean toward the Democratic Party),Extremely liberal
179,Independent,Moderate
180,Independent (Lean toward the Democratic Party),Liberal
181,Democrat (Weakly Democratic),Slightly liberal
182,Democrat (Weakly Democratic),Slightly liberal
185,Independent (Lean toward the Republican Party),Conservative
186,Democrat (Strongly Democratic),Extremely conservative
188,Democrat (Strongly Democratic),Extremely liberal
189,Democrat (Weakly Democratic),Moderate
190,Democrat (Weakly Democratic),Liberal
191,Democrat (Strongly Democratic),Extremely liberal
192,Independent (Lean toward the Republican Party),Moderate
193,Independent,Moderate
195,Democrat (Strongly Democratic),Liberal
196,Independent (Lean toward the Democratic Party),Extremely liberal
197,Democrat (Strongly Democratic),Liberal
198,Democrat (Strongly Democratic),Slightly liberal
199,Independent (Lean toward the Republican Party),Slightly conservative
200,Republican (Strongly Republican),Conservative
201,Independent (Lean toward the Democratic Party),Extremely liberal
202,Democrat (Strongly Democratic),Extremely liberal
203,Independent (Lean toward the Democratic Party),Moderate
204,Independent,Slightly conservative
205,Independent (Lean toward the Democratic Party),Extremely liberal
206,Independent,Conservative
207,Republican (Weakly Republican),Slightly conservative
208,Democrat (Weakly Democratic),Moderate
209,Independent (Lean toward the Democratic Party),Liberal
210,Democrat (Strongly Democratic),Liberal
213,Democrat (Strongly Democratic),Liberal
215,Democrat (Weakly Democratic),Slightly liberal
