id,other_social_response,fb_minutes,other_social_minutes,sum_social_minutes
22303,Between 1 and 2 hours,40,90,130
11355,More than 3 hours,25,180,205
1398,Between 31 minutes and 1 hour,50,45,95
21204,More than 3 hours,90,180,270
15251,Between 31 minutes and 1 hour,10,45,55
2536,Between 1 and 2 hours,120,90,210
14221,Between 1 and 30 minutes,120,15,135
2736,More than 3 hours,120,180,300
15642,Between 31 minutes and 1 hour,90,45,135
2885,More than 3 hours,120,180,300
17138,Between 31 minutes and 1 hour,120,45,165
19642,More than 3 hours,60,180,240
2094,Between 2 and 3 hours,40,150,190
14276,Between 2 and 3 hours,240,150,390
17783,Between 1 and 30 minutes,30,15,45
1862,More than 3 hours,300,180,480
2036,More than 3 hours,150,180,330
1405,Between 1 and 2 hours,60,90,150
10635,Between 2 and 3 hours,80,150,230
156,More than 3 hours,30,180,210
10434,Between 1 and 30 minutes,30,15,45
16694,Between 2 and 3 hours,100,150,250
797,Between 1 and 2 hours,90,90,180
1977,Between 2 and 3 hours,180,150,330
17873,Between 1 and 2 hours,30,90,120
11221,Between 2 and 3 hours,60,150,210
15089,Between 2 and 3 hours,45,150,195
22103,Between 1 and 2 hours,120,90,210
22865,More than 3 hours,30,180,210
21333,Between 31 minutes and 1 hour,20,45,65
11485,0 minutes,60,0,60
18162,Between 2 and 3 hours,120,150,270
1777,Between 1 and 2 hours,60,90,150
18911,Between 2 and 3 hours,120,150,270
234,More than 3 hours,45,180,225
9821,Between 31 minutes and 1 hour,20,45,65
18402,Between 2 and 3 hours,30,150,180
12244,Between 2 and 3 hours,60,150,210
10057,Between 1 and 2 hours,60,90,150
10512,Between 2 and 3 hours,90,150,240
1438,More than 3 hours,500,180,680
588,0 minutes,60,0,60
2132,More than 3 hours,90,180,270
699,Between 31 minutes and 1 hour,120,45,165
2585,Between 1 and 2 hours,120,90,210
20623,Between 1 and 2 hours,120,90,210
1871,Between 2 and 3 hours,40,150,190
12968,Between 31 minutes and 1 hour,30,45,75
14036,Between 1 and 2 hours,25,90,115
2740,Between 31 minutes and 1 hour,90,45,135
19269,Between 2 and 3 hours,30,150,180
15914,More than 3 hours,270,180,450
10799,Between 1 and 2 hours,30,90,120
20874,More than 3 hours,190,180,370
21136,0 minutes,120,0,120
12576,Between 2 and 3 hours,20,150,170
2165,More than 3 hours,60,180,240
2947,More than 3 hours,65,180,245
24253,Between 31 minutes and 1 hour,150,45,195
41,Between 2 and 3 hours,30,150,180
1299,Between 1 and 30 minutes,22,15,37
417,Between 2 and 3 hours,150,150,300
2826,Between 2 and 3 hours,300,150,450
233,More than 3 hours,45,180,225
2516,Between 31 minutes and 1 hour,60,45,105
24291,0 minutes,90,0,90
14738,Between 31 minutes and 1 hour,120,45,165
15220,Between 2 and 3 hours,120,150,270
20836,Between 2 and 3 hours,60,150,210
16527,Between 1 and 30 minutes,60,15,75
863,Between 31 minutes and 1 hour,60,45,105
20824,More than 3 hours,120,180,300
2545,More than 3 hours,70,180,250
1142,More than 3 hours,10,180,190
2448,Between 1 and 2 hours,45,90,135
17496,Between 1 and 2 hours,72,90,162
19979,More than 3 hours,60,180,240
527,Between 1 and 2 hours,90,90,180
18435,More than 3 hours,30,180,210
1122,Between 1 and 30 minutes,90,15,105
22137,Between 1 and 30 minutes,30,15,45
2531,More than 3 hours,90,180,270
15757,Between 1 and 30 minutes,180,15,195
23957,Between 1 and 2 hours,60,90,150
2760,More than 3 hours,90,180,270
1188,Between 1 and 2 hours,69,90,159
2880,Between 2 and 3 hours,100,150,250
22526,Between 2 and 3 hours,300,150,450
13444,Between 31 minutes and 1 hour,30,45,75
1519,Between 31 minutes and 1 hour,60,45,105
16741,Between 1 and 30 minutes,45,15,60
878,Between 1 and 30 minutes,30,15,45
18407,More than 3 hours,45,180,225
10246,More than 3 hours,90,180,270
2663,More than 3 hours,25,180,205
10982,Between 2 and 3 hours,60,150,210
17169,Between 1 and 2 hours,600,90,690
15261,More than 3 hours,45,180,225
2844,More than 3 hours,240,180,420
2672,Between 2 and 3 hours,60,150,210
16756,More than 3 hours,65,180,245
2771,Between 1 and 2 hours,60,90,150
460,0 minutes,45,0,45
1638,Between 2 and 3 hours,30,150,180
1033,More than 3 hours,400,180,580
19464,0 minutes,150,0,150
2944,More than 3 hours,60,180,240
2445,More than 3 hours,120,180,300
10726,More than 3 hours,40,180,220
1465,Between 1 and 30 minutes,30,15,45
24009,Between 31 minutes and 1 hour,30,45,75
559,Between 2 and 3 hours,500,150,650
17351,Between 2 and 3 hours,960,150,1110
17860,More than 3 hours,30,180,210
242,More than 3 hours,300,180,480
2665,Between 1 and 2 hours,120,90,210
22613,More than 3 hours,60,180,240
16037,Between 31 minutes and 1 hour,160,45,205
16439,Between 1 and 2 hours,45,90,135
2148,Between 31 minutes and 1 hour,35,45,80
1275,More than 3 hours,120,180,300
12219,Between 1 and 30 minutes,60,15,75
20431,0 minutes,1440,0,1440
16603,More than 3 hours,75,180,255
12174,More than 3 hours,100,180,280
22029,Between 1 and 2 hours,30,90,120
1058,Between 31 minutes and 1 hour,120,45,165
1768,Between 2 and 3 hours,240,150,390
15545,Between 1 and 2 hours,60,90,150
13276,More than 3 hours,45,180,225
1311,More than 3 hours,120,180,300
23040,Between 31 minutes and 1 hour,180,45,225
1741,More than 3 hours,120,180,300
18243,Between 2 and 3 hours,120,150,270
2286,Between 1 and 2 hours,120,90,210
14743,More than 3 hours,30,180,210
19944,Between 2 and 3 hours,120,150,270
876,Between 31 minutes and 1 hour,120,45,165
2899,Between 31 minutes and 1 hour,240,45,285
2992,Between 1 and 30 minutes,60,15,75
20366,Between 2 and 3 hours,60,150,210
450,More than 3 hours,60,180,240
22883,More than 3 hours,80,180,260
13820,Between 1 and 2 hours,150,90,240
17582,Between 1 and 2 hours,120,90,210
21531,0 minutes,180,0,180
2888,Between 1 and 2 hours,90,90,180
13514,More than 3 hours,60,180,240
16002,More than 3 hours,90,180,270
18010,More than 3 hours,240,180,420
12823,Between 2 and 3 hours,180,150,330
24277,Between 1 and 2 hours,90,90,180
21795,Between 1 and 30 minutes,60,15,75
1394,Between 31 minutes and 1 hour,120,45,165
1286,More than 3 hours,60,180,240
14774,More than 3 hours,30,180,210
2660,Between 31 minutes and 1 hour,60,45,105
944,Between 1 and 2 hours,180,90,270
1820,More than 3 hours,120,180,300
19462,More than 3 hours,45,180,225
976,0 minutes,50,0,50
1632,Between 1 and 30 minutes,140,15,155
2997,Between 2 and 3 hours,60,150,210
18738,Between 1 and 30 minutes,120,15,135
21944,More than 3 hours,120,180,300
3074,Between 1 and 2 hours,150,90,240
19794,Between 2 and 3 hours,120,150,270
17855,Between 31 minutes and 1 hour,30,45,75
18649,Between 31 minutes and 1 hour,45,45,90
2718,Between 2 and 3 hours,120,150,270
