id,swb_happiness_base,swb_relhappiness_base,swb_ideal_base,swb_conditions_base,swb_satisfied_base,swb_lack_companion_base,swb_left_out_base,swb_isolated_base,swb_bored_base,swb_anxious_base,swb_depressed_base,swb_absorbed_worthwhile_base,swb_happiness_end,swb_relhappiness_end,swb_ideal_end,swb_conditions_end,swb_satisfied_end,swb_lack_companion_end,swb_left_out_end,swb_isolated_end,swb_bored_end,swb_anxious_end,swb_depressed_end,swb_absorbed_worthwhile_end,swb_wellbeing_index_base,swb_social_index_base,swb_feeling_index_base,swb_wellbeing_index_end,swb_social_index_end,swb_feeling_index_end,swb_happiness_diff,swb_relhappiness_diff,swb_ideal_diff,swb_conditions_diff,swb_satisfied_diff,swb_wellbeing_index_diff,swb_lack_companion_diff,swb_left_out_diff,swb_isolated_diff,swb_social_index_diff,swb_bored_diff,swb_anxious_diff,swb_depressed_diff,swb_absorbed_worthwhile_diff,swb_feeling_index_diff
7,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,-1,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0,0,0,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,-1,0.6666666666666667,-0.6666666666666666,0,-0.6666666666666666,0.3333333333333333,0.6666666666666666,0,-0.3333333333333333,-0.3333333333333333,0.33333333333333337,1,0,0,1,-0.6666666666666666,-0.6666666666666666,0,0,-1.3333333333333335
8,-0.3333333333333333,-0.6666666666666666,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,1,1,1,0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,-0.3333333333333333,0,-0.3333333333333333,-0.3333333333333333,1,1,0,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,-1.6666666666666665,3,0,-1,2,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.6666666666666666,0,0.6666666666666665,0,0,-1,-1,0,-0.6666666666666666,0,-0.6666666666666666,0
12,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,-1,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0,-0.6666666666666666,0,-0.3333333333333333,0,0,0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,3.666666666666666,-3,-0.6666666666666666,-0.6666666666666666,0,0.6666666666666666,-0.6666666666666667,-0.6666666666666666,-1.3333333333333333,-0.6666666666666666,-1,-4.333333333333333,1,1,1,3,0.6666666666666666,-0.6666666666666666,0.6666666666666666,-0.6666666666666666,1.3333333333333333
13,0.6666666666666666,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,-1,-1,-1,-1,-1,0.3333333333333333,-0.3333333333333333,1,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,-1,-1,-1,-0.3333333333333333,-1,-1,0.3333333333333333,2,-3,-1.3333333333333335,3.9999999999999996,-3,-2.6666666666666665,0.33333333333333337,1,0.3333333333333333,0.3333333333333333,0,1.9999999999999996,0,0,0,0,0.6666666666666667,0,-1.3333333333333333,0.6666666666666666,-1.333333333333333
14,0.3333333333333333,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-1,0,1,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,-1,-1,-1,-1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0.6666666666666667,-3,-1.3333333333333333,0.3333333333333333,0,0,0,0,0.3333333333333334,0,-1,-2,-3,-0.6666666666666667,0,0,0.6666666666666666,-1.3333333333333333
16,1,1,0.6666666666666666,0.6666666666666666,1,-1,-1,-1,-1,-1,0.3333333333333333,-1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,4.333333333333333,-3,-0.6666666666666667,5,-3,-4,0,0,0.33333333333333337,0.33333333333333337,0,0.666666666666667,0,0,0,0,0,0,-1.3333333333333333,2,-3.333333333333333
23,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,-1,-1,0,-1,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,-1,-1,-1,-1,-1,-0.3333333333333333,0.3333333333333333,2.3333333333333335,-2,-0.6666666666666667,3,-3,-2.666666666666667,0.3333333333333333,0.3333333333333333,0,0,0,0.6666666666666665,0,0,-1,-1,0,-0.6666666666666667,-0.6666666666666666,0.6666666666666666,-2
25,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,-1,-1,-1,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,-1,0.6666666666666666,0.3333333333333333,0,0,0.3333333333333333,-1,-1,-1,-1,-1,-0.3333333333333333,0.3333333333333333,1.6666666666666665,-3,0.6666666666666667,1.3333333333333333,-3,-2.666666666666667,0.3333333333333333,0,-0.3333333333333333,-0.3333333333333333,0,-0.33333333333333326,0,0,0,0,-0.6666666666666667,-1.3333333333333333,0,1.3333333333333333,-3.333333333333334
27,0.3333333333333333,0,0,0,0.3333333333333333,0,-1,-1,-1,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.3333333333333333,0,0.3333333333333333,0,1,0,0,-1,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.3333333333333333,0.6666666666666666,-2,-0.6666666666666667,1.6666666666666665,-1,-1.3333333333333333,0,0,0.3333333333333333,0,0.6666666666666667,0.9999999999999999,0,1,0,1,0.6666666666666667,0,-0.6666666666666666,0.6666666666666666,-0.6666666666666665
28,0.3333333333333333,0.6666666666666666,-0.6666666666666666,0,0.3333333333333333,0,-1,-1,-1,-0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,-0.6666666666666666,0,0.3333333333333333,0,-1,0,-0.3333333333333333,-1,-0.3333333333333333,-0.3333333333333333,0.6666666666666667,-2,-1.3333333333333333,0.6666666666666667,-1,-1.3333333333333333,0,0,0,0,0,0,0,0,1,1,0.6666666666666667,-0.6666666666666667,-0.6666666666666666,-0.6666666666666666,0
